Algorithm,Array Size,Input Case,Time (seconds),Memory (KB)
Cocktail Shaker Sort,1000000,Best,0.832497,0.2
Cocktail Shaker Sort,1000000,Random,Time Limit,N/A
Cocktail Shaker Sort,1000000,Worst,Time Limit,N/A
Comb Sort,1000,Best,0.034678,0.29
Comb Sort,1000,Random,0.02109,0.29
Comb Sort,1000,Worst,0.053729,0.29
Comb Sort,10000,Best,0.314588,0.29
Comb Sort,10000,Random,0.442722,0.29
Comb Sort,10000,Worst,0.334814,0.29
Comb Sort,100000,Best,3.613136,0.29
Comb Sort,100000,Random,5.282326,0.29
Comb Sort,100000,Worst,4.107158,0.29
Comb Sort,1000000,Best,46.406667,0.29
Comb Sort,1000000,Random,65.823472,0.29
Comb Sort,1000000,Worst,49.162818,0.29
Counting Sort,1000,Best,0.021872,46.16
Counting Sort,1000,Random,0.012409,46.16
Counting Sort,1000,Worst,0.028705,46.16
Counting Sort,10000,Best,0.079326,538.63
Counting Sort,10000,Random,0.102589,538.63
Counting Sort,10000,Worst,0.079472,538.63
Counting Sort,100000,Best,0.73826,5460.93
Counting Sort,100000,Random,0.793191,5460.93
Counting Sort,100000,Worst,0.735237,5460.93
Counting Sort,1000000,Best,7.049948,54679.86
Counting Sort,1000000,Random,7.984917,54679.86
Counting Sort,1000000,Worst,7.056303,54679.86
Cycle Sort,1000,Best,0.231246,0.3
Cycle Sort,1000,Random,0.969691,0.3
Cycle Sort,1000,Worst,0.64173,0.3
Cycle Sort,10000,Best,21.477671,0.3
Cycle Sort,10000,Random,129.668351,0.3
Cycle Sort,10000,Worst,67.685234,0.3
Cycle Sort,100000,Best,Time Limit,N/A
Cycle Sort,100000,Random,Time Limit,N/A
Cycle Sort,100000,Worst,Time Limit,N/A
Cycle Sort,1000000,Best,Time Limit,N/A
Cycle Sort,1000000,Random,Time Limit,N/A
Cycle Sort,1000000,Worst,Time Limit,N/A
Flash Sort,1000,Best,0.0442,14.15
Flash Sort,1000,Random,0.048598,14.12
Flash Sort,1000,Worst,0.04505,14.09
Flash Sort,10000,Best,0.238116,172.48
Flash Sort,10000,Random,0.232441,172.48
